dataset,parameter_sharing,transform,cal_accuracy,cal_nce,uncal_accuracy,uncal_nce,model,train_split,eval_split,share_a,share_b,shift_then_scale,train_cal_nce,n_params,final_loss
synthetic,a_global_b_global,a*logits+b,0.848,0.3042405555488435,0.777,0.4340587143497386,,,,,,,,,
synthetic,a_global_b_global,a*(logits+b),0.848,0.30424231837101484,0.777,0.4340587143497386,,,,,,,,,
synthetic,a_subject_b_global,a*logits+b,0.846,0.30502217370135226,0.777,0.4340587143497386,,,,,,,,,
synthetic,a_subject_b_global,a*(logits+b),0.848,0.30317991704314123,0.777,0.4340587143497386,,,,,,,,,
synthetic,a_subject_b_subject,a*logits+b,0.849,0.3053798546194842,0.777,0.4340587143497386,,,,,,,,,
synthetic,a_subject_b_subject,a*(logits+b),0.849,0.30537583452502026,0.777,0.4340587143497386,,,,,,,,,
,a_global_b_global,a*logits+b,0.3458333333333333,1.0117542430123794,0.31666666666666665,1.0217015475556335,meta_llama_Llama_3.2_1B_Instruct,test,validation,True,True,False,0.9191922344134361,5.0,1.2742711305618286
,a_global_b_global,a*(logits+b),0.3458333333333333,1.0117576826653967,0.31666666666666665,1.0217015475556335,meta_llama_Llama_3.2_1B_Instruct,test,validation,True,True,True,0.9191923204047615,5.0,1.274271011352539
,a_subject_b_global,a*logits+b,0.3458333333333333,1.0117545869776812,0.31666666666666665,1.0217015475556335,meta_llama_Llama_3.2_1B_Instruct,test,validation,False,True,False,0.9191923204047615,5.0,1.274271011352539
,a_subject_b_global,a*(logits+b),0.3458333333333333,1.0117558768475627,0.31666666666666665,1.0217015475556335,meta_llama_Llama_3.2_1B_Instruct,test,validation,False,True,True,0.9191923204047615,5.0,1.2742708921432495
,a_subject_b_subject,a*logits+b,0.3458333333333333,1.0117542430123794,0.31666666666666665,1.0217015475556335,meta_llama_Llama_3.2_1B_Instruct,test,validation,False,False,False,0.9191923204047615,5.0,1.2742708921432495
,a_subject_b_subject,a*(logits+b),0.3458333333333333,1.0117534690904506,0.31666666666666665,1.0217015475556335,meta_llama_Llama_3.2_1B_Instruct,test,validation,False,False,True,0.9191922344134361,5.0,1.274271011352539
,a_global_b_global,a*logits+b,0.3625,1.0595375587628004,0.3541666666666667,0.9803933786101972,meta_llama_Llama_3.2_1B_Instruct,test,dev,True,True,False,0.9191922344134361,5.0,1.2742711305618286
,a_global_b_global,a*(logits+b),0.3625,1.0596017942828977,0.3541666666666667,0.9803933786101972,meta_llama_Llama_3.2_1B_Instruct,test,dev,True,True,True,0.9191923204047615,5.0,1.274271011352539
,a_subject_b_global,a*logits+b,0.375,0.9455361929072994,0.3541666666666667,0.9803933786101972,meta_llama_Llama_3.2_1B_Instruct,test,dev,False,True,False,0.9191923204047615,6.0,1.2742711305618286
,a_subject_b_global,a*(logits+b),0.3625,0.9409734071885837,0.3541666666666667,0.9803933786101972,meta_llama_Llama_3.2_1B_Instruct,test,dev,False,True,True,0.9191923204047615,6.0,1.2742711305618286
,a_subject_b_subject,a*logits+b,0.375,0.9556492887259851,0.3541666666666667,0.9803933786101972,meta_llama_Llama_3.2_1B_Instruct,test,dev,False,False,False,0.9191923204047615,10.0,1.2742711305618286
,a_subject_b_subject,a*(logits+b),0.375,0.9556535882922567,0.3541666666666667,0.9803933786101972,meta_llama_Llama_3.2_1B_Instruct,test,dev,False,False,True,0.9191924923874124,10.0,1.274271011352539
